id,clip,stimulus,trustworthy,wealthy,kind,intelligent,honest,educated,humorous,confident,accent
269,standard_clip3,NA,4,3,4,4,4,4,3,4,standard
269,standard_clip5,NA,3,4,3,4,3,4,3,5,standard
274,standard_clip1,NA,3,3,4,4,3,4,3,5,standard
274,standard_clip2,NA,4,2,5,4,4,4,3,4,standard
274,standard_clip3,NA,4,2,4,4,4,5,3,5,standard
274,standard_clip5,NA,4,3,4,4,4,5,3,4,standard
290,standard_clip1,NA,4,4,3,4,3,4,3,3,standard
290,standard_clip2,NA,3,4,3,4,3,4,3,5,standard
290,standard_clip3,NA,3,4,3,4,3,4,3,4,standard
290,standard_clip5,NA,4,4,3,5,3,5,3,5,standard
292,standard_clip1,NA,3,5,5,5,5,5,3,5,standard
292,standard_clip2,NA,3,5,5,5,5,5,3,5,standard
292,standard_clip3,NA,3,5,4,5,5,5,3,5,standard
292,standard_clip5,NA,3,5,5,5,5,5,3,5,standard
294,standard_clip1,NA,3,3,3,4,3,3,3,4,standard
294,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
294,standard_clip3,NA,3,3,3,4,3,4,3,4,standard
294,standard_clip5,NA,3,3,3,3,3,3,3,4,standard
295,standard_clip1,NA,4,3,3,3,4,4,3,4,standard
295,standard_clip2,NA,4,4,4,4,4,4,4,4,standard
295,standard_clip3,NA,4,3,3,4,4,4,3,4,standard
295,standard_clip5,NA,4,4,3,4,3,4,4,4,standard
297,standard_clip1,NA,3,3,3,3,3,3,3,4,standard
297,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
297,standard_clip3,NA,3,3,3,3,3,3,3,4,standard
297,standard_clip5,NA,3,3,3,3,3,3,3,3,standard
311,standard_clip1,NA,4,4,3,4,3,4,3,4,standard
311,standard_clip2,NA,4,4,4,4,3,4,3,4,standard
311,standard_clip3,NA,4,4,4,3,4,4,3,4,standard
311,standard_clip5,NA,4,4,4,4,3,4,3,4,standard
323,standard_clip1,NA,6,4,3,5,6,5,3,6,standard
323,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
